Feature,Average RE,Average TE,Success Rate @1,Success Rate @2,Average Time,Absolute Num
"DAIR-V2X_10_['category', 'angle']_['centerpoint_distance', 'vertex_distance']_allRetained_evenSVD_selected_data_info_2024-09-13-14-50-18.log",1.225476186,1.488483556,32.23140496,70.24793388,0.038261814,121
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_allRetained_evenSVD_selected_data_info_2024-08-28-23-13-04.log",1.246892907,1.132324392,53.33333333,85.53459119,0.171442697,795
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_allRetained_weightedSVD_selected_data_info_2024-08-28-23-12-55.log",1.262736192,1.129018209,53.28376704,85.13011152,0.173695936,807
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_thresholdRetained_evenSVD_selected_data_info_2024-08-28-23-12-39.log",1.336077097,1.213032198,45.71759259,85.06944444,0.185750814,864
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_thresholdRetained_weightedSVD_selected_data_info_2024-08-28-23-12-47.log",1.336669232,1.213909045,45.60185185,85.06944444,0.186956249,864
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_topRetained_evenSVD_selected_data_info_2024-08-28-23-12-24.log",1.34720918,1.22284297,45.22144522,84.61538462,0.186369372,858
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_topRetained_weightedSVD_selected_data_info_2024-08-28-23-12-15.log",1.34720918,1.22284297,45.22144522,84.61538462,0.188030586,858
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_trueRetained_evenSVD_selected_data_info_2024-08-28-23-11-21.log",1.247073891,1.080696864,56.06060606,87.01298701,0.17119012,924
"DAIR-V2X_10_['category', 'core']_['centerpoint_distance', 'vertex_distance']_trueRetained_weightedSVD_selected_data_info_2024-08-28-23-11-50.log",1.246083978,1.084413094,55.77130529,86.83926645,0.181017695,927
"DAIR-V2X_10_['category', 'core']_['iou']_allRetained_evenSVD_easy_data_info_2024-08-28-08-02-03.log",0.872783737,0.802626049,79.33884298,94.21487603,0.81731516,484
"DAIR-V2X_10_['category', 'core']_['iou']_allRetained_evenSVD_easy_data_info_2024-08-28-08-02-10.log",0.872783737,0.802626049,79.33884298,94.21487603,0.814498485,484
"DAIR-V2X_10_['category', 'core']_['iou']_allRetained_evenSVD_selected_data_info_2024-08-28-08-01-52.log",1.251076125,1.253140073,46.84095861,78.8671024,0.655360636,459
"DAIR-V2X_10_['category', 'core']_['iou']_thresholdRetained_evenSVD_easy_data_info_2024-08-28-08-00-37.log",0.872783737,0.802626049,79.33884298,94.21487603,0.836119881,484
"DAIR-V2X_10_['category', 'core']_['iou']_thresholdRetained_evenSVD_easy_data_info_2024-08-28-09-20-06.log",1.003758399,0.849419035,73.61229718,93.42442357,1.009454581,1171
"DAIR-V2X_10_['category', 'core']_['iou']_thresholdRetained_evenSVD_hard_data_info_2024-08-28-08-01-11.log",1.623856249,1.520566801,20.79343365,74.96580027,0.64348827,731
"DAIR-V2X_10_['category', 'core']_['iou']_thresholdRetained_evenSVD_hard_data_info_2024-08-28-09-20-01.log",1.62264985,1.462815069,25.3236246,77.66990291,0.792058548,1236
"DAIR-V2X_10_['category', 'core']_['iou']_thresholdRetained_evenSVD_selected_data_info_2024-08-28-08-01-21.log",1.251076125,1.253140073,46.84095861,78.8671024,0.669732539,459
"DAIR-V2X_10_['category', 'core']_['iou']_thresholdRetained_evenSVD_selected_data_info_2024-08-28-09-18-51.log",1.269046623,1.199762977,48.01587302,82.27513228,0.780280297,756
"DAIR-V2X_10_['category', 'core']_['iou']_topRetained_evenSVD_easy_data_info_2024-08-28-08-00-04.log",1.037383871,0.874742098,72.08695652,92.7826087,1.277067803,1150
"DAIR-V2X_10_['category', 'core']_['iou']_topRetained_evenSVD_easy_data_info_2024-08-28-09-21-47.log",1.037383871,0.874742098,72.08695652,92.7826087,1.054821689,1150
"DAIR-V2X_10_['category', 'core']_['iou']_topRetained_evenSVD_hard_data_info_2024-08-28-07-59-32.log",1.60852293,1.470102363,26.26262626,76.51515152,0.928611151,1188
"DAIR-V2X_10_['category', 'core']_['iou']_topRetained_evenSVD_hard_data_info_2024-08-28-09-21-59.log",1.60852293,1.470102363,26.26262626,76.51515152,0.777018919,1188
"DAIR-V2X_10_['category', 'core']_['iou']_topRetained_evenSVD_selected_data_info_2024-08-28-07-59-49.log",1.270188216,1.202495558,48.38709677,81.58602151,1.1302281,744
"DAIR-V2X_10_['category', 'core']_['iou']_topRetained_evenSVD_selected_data_info_2024-08-28-09-21-54.log",1.270188216,1.202495558,48.38709677,81.58602151,0.892507054,744
"DAIR-V2X_10_['category', 'core']_['iou']_trueRetained_evenSVD_easy_data_info_2024-08-28-07-56-51.log",0.902082932,0.701723336,85.25815217,97.41847826,1.227023983,1472
"DAIR-V2X_10_['category', 'core']_['iou']_trueRetained_evenSVD_easy_data_info_2024-08-28-09-22-25.log",0.902082932,0.701723336,85.25815217,97.41847826,1.059728493,1472
"DAIR-V2X_10_['category', 'core']_['iou']_trueRetained_evenSVD_easy_data_info_2024-08-28-09-22-30.log",0.902082932,0.701723336,85.25815217,97.41847826,1.052496764,1472
"DAIR-V2X_10_['category', 'core']_['iou']_trueRetained_evenSVD_hard_data_info_2024-08-28-07-58-56.log",1.601204804,1.360324279,30.39099526,82.34597156,0.997031162,1688
"DAIR-V2X_10_['category', 'core']_['iou']_trueRetained_evenSVD_hard_data_info_2024-08-28-09-22-19.log",1.601204804,1.360324279,30.39099526,82.34597156,0.824982261,1688
"DAIR-V2X_10_['category', 'core']_['iou']_trueRetained_evenSVD_selected_data_info_2024-08-28-07-54-55.log",1.226076723,1.056609968,58.2278481,87.86919831,0.887492404,948
"DAIR-V2X_10_['category', 'length']_['centerpoint_distance', 'vertex_distance']_allRetained_evenSVD_selected_data_info_2024-09-13-14-48-59.log",1.242181822,1.262135246,45.41666667,81.66666667,0.058311477,240
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_allRetained_evenSVD_2024-08-18-16-48-57.log",1.235456386,1.160443777,51.39500734,84.5814978,0.549728772,681
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_allRetained_weightedSVD_2024-08-18-16-48-50.log",1.240207794,1.175772415,52.44565217,83.42391304,0.601035614,736
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_False_evenSVD_2024-08-12-20-53-36.log",1.283103903,1.315984055,44.71299094,76.13293051,0.113543376,331
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_False_evenSVD_2024-08-16-22-28-54.log",1.234300511,1.237219191,49.20993228,79.45823928,0.184885197,443
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_thresholdRetained_evenSVD_2024-08-18-16-49-19.log",1.279337731,1.157920689,51.03148751,83.93051031,0.716268827,921
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_thresholdRetained_weightedSVD_2024-08-18-16-48-41.log",1.279195784,1.158055317,51.03148751,84.14766558,0.721651748,921
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_topRetained_evenSVD_2024-08-18-16-49-25.log",1.325474376,1.212206107,47.27074236,82.31441048,0.724779674,916
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_topRetained_weightedSVD_2024-08-18-16-48-34.log",1.325474376,1.212206107,47.27074236,82.31441048,0.715742232,916
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_trueRetained_evenSVD_2024-08-18-16-50-21.log",1.167560942,1.03479649,58.7537092,88.52621167,0.711498809,1011
"DAIR-V2X_15_['category', 'core']_['centerpoint_distance', 'vertex_distance']_trueRetained_weightedSVD_2024-08-18-16-48-28.log",1.169984803,1.032943934,59.28853755,88.43873518,0.726428371,1012
"DAIR-V2X_15_['category', 'core']_['iou']_allRetained_evenSVD_2024-08-17-08-38-55.log",1.257654707,1.320479834,42.8115016,76.03833866,1.423086148,313
"DAIR-V2X_15_['category', 'core']_['iou']_allRetained_weightedSVD_2024-08-17-08-38-59.log",1.269205693,1.375099976,41.09947644,73.82198953,2.2587923,382
"DAIR-V2X_15_['category', 'core']_['iou']_False_evenSVD_2024-08-16-21-36-17.log",1.257142139,1.334942685,41.9047619,75.55555556,0.554442372,315
"DAIR-V2X_15_['category', 'core']_['iou']_thresholdRetained_evenSVD_2024-08-17-08-38-51.log",1.257654707,1.320479834,42.8115016,76.03833866,1.458085976,313
"DAIR-V2X_15_['category', 'core']_['iou']_thresholdRetained_weightedSVD_2024-08-17-08-39-06.log",1.269205693,1.375099976,41.09947644,73.82198953,2.234480782,382
"DAIR-V2X_15_['category', 'core']_['iou']_topRetained_weightedSVD_2024-08-17-08-39-12.log",1.272115992,1.197097976,49.43679599,82.10262829,4.235227414,799
"DAIR-V2X_15_['category', 'core']_['iou']_trueRetained_evenSVD_2024-08-17-08-38-42.log",1.15331325,1.010976408,61.19257087,89.14956012,4.384783137,1023
"DAIR-V2X_15_['category', 'core']_['iou']_trueRetained_weightedSVD_2024-08-17-08-39-16.log",1.148884363,1.003516652,61.01860921,89.61802155,4.231904284,1021
"DAIR-V2X_15_['category', 'core']_['iou']_trueRetained_weightedSVD_2024-08-17-08-39-21.log",1.148884363,1.003516652,61.01860921,89.61802155,4.246425916,1021
DAIR-V2X_demo_FGR_fpfh__easy_data_info_2024-08-29-00-09-46.log,1.120787798,1.04746868,55.17241379,93.10344828,52.88122992,464
DAIR-V2X_demo_FGR_fpfh__easy_data_info_2024-08-30-02-53-54.log,1.122992648,1.036431956,55.7591623,93.45549738,39.69903432,382
DAIR-V2X_demo_FGR_fpfh__hard_data_info_2024-08-29-00-09-20.log,1.493000858,1.468924987,31.95691203,75.0448833,41.01889695,557
DAIR-V2X_demo_FGR_fpfh__hard_data_info_2024-08-30-02-57-41.log,1.540931534,1.513933882,30.53892216,71.85628743,34.83624108,334
DAIR-V2X_demo_FGR_fpfh__selected_data_info_2024-08-29-00-09-07.log,1.38193981,1.340959957,36.55316192,82.00138985,48.85048892,1439
DAIR-V2X_demo_GNC_TLS_fpfh__easy_data_info_2024-08-29-00-05-25.log,1.152968805,1.069389775,56.04395604,92.30769231,53.47426238,455
DAIR-V2X_demo_GNC_TLS_fpfh__easy_data_info_2024-08-30-02-53-58.log,1.162345639,1.071677106,55.61497326,91.71122995,39.33743323,374
DAIR-V2X_demo_GNC_TLS_fpfh__hard_data_info_2024-08-29-00-07-20.log,1.533006287,1.489984762,32.34750462,72.82809612,40.72991333,541
DAIR-V2X_demo_GNC_TLS_fpfh__hard_data_info_2024-08-30-02-54-14.log,1.561244692,1.523463326,31.97492163,69.90595611,34.70980204,319
DAIR-V2X_demo_GNC_TLS_fpfh__selected_data_info_2024-08-29-00-08-24.log,1.422213348,1.370007204,36.51804671,80.18400566,48.77203432,1413
DAIR-V2X_demo_QUATRO_fpfh__easy_data_info_2024-08-29-00-14-53.log,1.14314329,1.14355781,44.50549451,92.85714286,53.23062692,546
DAIR-V2X_demo_QUATRO_fpfh__easy_data_info_2024-08-30-02-52-45.log,1.145983283,1.142658469,46.20535714,92.41071429,39.69670633,448
DAIR-V2X_demo_QUATRO_fpfh__hard_data_info_2024-08-29-00-10-10.log,1.503613484,1.551528234,24.41520468,71.78362573,40.64164876,684
DAIR-V2X_demo_QUATRO_fpfh__hard_data_info_2024-08-30-02-54-23.log,1.499829288,1.557597305,23.11557789,71.10552764,34.65674524,398
DAIR-V2X_demo_QUATRO_fpfh__selected_data_info_2024-08-29-00-10-15.log,1.329976533,1.373826826,31.04965431,82.212445,48.56280735,1591
