Feature,Average RE,Average TE,Success Rate @1,Success Rate @2,Average Time,Absolute Num,,,2
DAIR-V2X_demo_FGR_fpfh__easy_data_info_2024-08-29-00-09-46.log,0.977956169,0.930920547,59.83606557,100,52.23392308,244,,,
DAIR-V2X_demo_FGR_fpfh__hard_data_info_2024-08-29-00-09-20.log,1.153416879,1.113989372,45.51724138,100,46.64621269,145,,,
DAIR-V2X_demo_FGR_fpfh__selected_data_info_2024-08-29-00-09-07.log,1.095867231,1.086042781,46.03174603,100,50.22695488,567,,,
DAIR-V2X_demo_GNC_TLS_fpfh__easy_data_info_2024-08-29-00-05-25.log,0.990519623,0.934120163,60.43478261,100,52.74193404,230,,,
DAIR-V2X_demo_GNC_TLS_fpfh__hard_data_info_2024-08-29-00-07-20.log,1.179047848,1.102541253,48.88888889,100,46.23850843,135,,,
DAIR-V2X_demo_GNC_TLS_fpfh__selected_data_info_2024-08-29-00-08-24.log,1.100700123,1.08694051,46.91588785,100,49.78371871,535,,,
DAIR-V2X_demo_QUATRO_fpfh__easy_data_info_2024-08-29-00-14-53.log,1.04724787,1.037313871,49.50166113,100,53.37745787,301,,,
DAIR-V2X_demo_QUATRO_fpfh__hard_data_info_2024-08-29-00-10-10.log,1.225413195,1.216128967,32.40223464,100,46.66742623,179,,,
DAIR-V2X_demo_QUATRO_fpfh__selected_data_info_2024-08-29-00-10-15.log,1.126880673,1.128692627,39.10447761,100,49.82946671,670,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Feature,Average RE,Average TE,Success Rate @1,Success Rate @2,Average Time,Absolute Num,,,x
DAIR-V2X_demo_FGR_fpfh__easy_data_info_2024-08-29-00-09-46.log,1.418287862,1.307627072,47.46835443,82.59493671,52.15998109,316,,,
DAIR-V2X_demo_FGR_fpfh__hard_data_info_2024-08-29-00-09-20.log,1.86226977,1.791493566,24.82758621,60.34482759,45.17017324,290,,,
DAIR-V2X_demo_FGR_fpfh__selected_data_info_2024-08-29-00-09-07.log,1.734222327,1.671824823,28.66108787,69.66527197,48.58092002,956,,,
DAIR-V2X_demo_GNC_TLS_fpfh__easy_data_info_2024-08-29-00-05-25.log,1.481316415,1.34064392,46.62379421,81.02893891,52.59772986,311,,,
DAIR-V2X_demo_GNC_TLS_fpfh__hard_data_info_2024-08-29-00-07-20.log,1.960073977,1.824365123,25.77319588,58.7628866,44.79798647,291,,,
DAIR-V2X_demo_GNC_TLS_fpfh__selected_data_info_2024-08-29-00-08-24.log,1.83392951,1.738703426,27.69230769,65.74358974,48.22440578,975,,,
DAIR-V2X_demo_QUATRO_fpfh__easy_data_info_2024-08-29-00-14-53.log,1.176745591,1.214852513,43.31395349,89.53488372,52.85547206,344,,,
DAIR-V2X_demo_QUATRO_fpfh__hard_data_info_2024-08-29-00-10-10.log,1.716461185,1.819986352,19.23076923,61.24260355,45.76350798,338,,,
DAIR-V2X_demo_QUATRO_fpfh__selected_data_info_2024-08-29-00-10-15.log,1.486414993,1.544641288,28.04503582,75.02558854,47.89395461,977,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Feature,Average RE,Average TE,Success Rate @1,Success Rate @2,Average Time,Absolute Num,,,3
DAIR-V2X_demo_QUATRO_fpfh__hard_data_info_2024-08-29-00-10-10.log,1.497109677,1.553724165,23.05986696,70.95343681,47.00427558,451,,,
DAIR-V2X_demo_QUATRO_fpfh__selected_data_info_2024-08-29-00-10-15.log,1.329372478,1.372720401,31.90862196,81.72439204,49.30245692,1357,,,
DAIR-V2X_demo_FGR_fpfh__selected_data_info_2024-08-29-00-09-07.log,1.380442143,1.335009422,36.863711,81.69129721,49.70769072,1218,,,
DAIR-V2X_demo_FGR_fpfh__hard_data_info_2024-08-29-00-09-20.log,1.503894324,1.484823997,32.09549072,73.47480106,47.00765235,377,,,
DAIR-V2X_demo_GNC_TLS_fpfh__easy_data_info_2024-08-29-00-05-25.log,1.15627175,1.068393183,55.95238095,92.38095238,53.13979041,420,,,
DAIR-V2X_demo_QUATRO_fpfh__easy_data_info_2024-08-29-00-14-53.log,1.141952148,1.135522529,45.81673307,92.82868526,53.01332178,502,,,
DAIR-V2X_demo_FGR_fpfh__easy_data_info_2024-08-29-00-09-46.log,1.118281566,1.036361118,55.11627907,93.48837209,52.58286328,430,,,
DAIR-V2X_demo_GNC_TLS_fpfh__selected_data_info_2024-08-29-00-08-24.log,1.419094361,1.366120853,36.93467337,79.81574539,49.4909554,1194,,,
DAIR-V2X_demo_GNC_TLS_fpfh__hard_data_info_2024-08-29-00-07-20.log,1.544358226,1.502515151,32.7027027,71.35135135,46.38758564,370,,,
